交易日,燈號,評級,覆蓋率,資料狀態,燈號得分,加權指數,漲跌幅,外資買賣超(億),外資期貨淨OI(口),融資餘額(億)
2026-08-07,,,40.0,insufficient,20.92591908673375,44225.91,-0.0038469075404253014,-407.16,-87911.0,5376.6451
2026-08-10,,,40.0,insufficient,23.02725819457877,44928.76,0.015892267677476844,517.41,-89201.0,5452.95561
2026-08-11,,,50.0,insufficient,8.517060825637246,45120.72,0.004272541685993559,223.29,-88924.0,5441.51977
2026-08-12,,,50.0,insufficient,19.07163677994773,45518.07,0.008806375430179305,110.21,-86633.0,5480.83912
2026-08-13,,,50.0,insufficient,23.701413682262817,46021.48,0.011059563817182936,756.95,-86249.0,5497.80654
2026-08-14,56,可續買但進入賣壓測試區,70.0,provisional,39.43274470199199,45811.01,-0.004573299250697717,453.51,-85179.0,5470.59318
2026-08-17,55,可續買但進入賣壓測試區,70.0,provisional,38.770683568346634,45857.27,0.001009800919036712,454.47,-83474.0,5501.01672
2026-08-18,77,續買動能明確,100.0,confirmed,77.30808187329414,45308.68,-0.011962988638442718,-119.86,-83078.0,5470.11379
2026-08-19,67,續買動能明確,100.0,confirmed,66.52771848773189,44719.35,-0.013006999983226172,-416.39,-81501.0,5481.90238
2026-08-20,68,續買動能明確,100.0,confirmed,68.36178491753456,44933.74,0.004794121560353627,73.18,-82423.0,5484.07625
2026-08-21,68,續買動能明確,100.0,confirmed,68.46991512143691,45224.29,0.006466187768923754,283.05,-82594.0,5469.39322
2026-08-24,71,續買動能明確,100.0,confirmed,71.37534165848109,44762.32,-0.01021508574263963,-157.36,-82529.0,5452.5943
2026-08-25,58,可續買但進入賣壓測試區,100.0,confirmed,57.55448809964825,45169.46,0.009095596474892276,-7.87,-85380.0,5469.37698
2026-08-26,57,可續買但進入賣壓測試區,100.0,confirmed,56.828773868358006,45832.62,0.01468160124119261,366.13,-83654.0,5548.02585
2026-08-27,46,可續買但進入賣壓測試區,100.0,confirmed,45.98541575587386,45975.22,0.0031113211507437276,490.94,-84836.0,5599.18784
2026-08-28,46,可續買但進入賣壓測試區,100.0,confirmed,45.57600481130645,46331.45,0.007748304412681441,417.54,-83655.0,5671.77536
2026-08-31,47,可續買但進入賣壓測試區,100.0,confirmed,47.214805221667504,46128.47,-0.004381041387653526,-143.92,-82970.0,5698.76911
2026-09-01,56,可續買但進入賣壓測試區,100.0,confirmed,56.4268847394686,46948.72,0.017781860096378655,267.08,-78706.0,5781.15458
2026-09-02,51,可續買但進入賣壓測試區,100.0,confirmed,51.01523197694214,46164.72,-0.016699070815988166,-913.55,-85329.0,5856.75285
2026-09-03,68,續買動能明確,100.0,confirmed,68.00671071885752,45857.66,-0.006651399596921632,-481.46,-81575.0,5787.39307
2026-09-04,59,可續買但進入賣壓測試區,100.0,confirmed,59.23923547700152,46551.13,0.015122228216616376,562.13,-82389.0,5818.94588
2026-09-07,51,可續買但進入賣壓測試區,100.0,confirmed,50.93966568058725,47326.27,0.016651368076349597,883.08,-79399.0,5882.71579
2026-09-08,47,可續買但進入賣壓測試區,100.0,confirmed,47.02489809649366,47105.78,-0.004658934667785989,132.69,-82262.0,5862.66976
2026-09-09,49,可續買但進入賣壓測試區,100.0,confirmed,48.53568713221602,47183.36,0.0016469316504259138,209.24,-81066.0,5871.66811
2026-09-10,57,可續買但進入賣壓測試區,100.0,confirmed,56.67857198464322,46940.49,-0.005147365511909283,-383.34,-83918.0,5918.97687
2026-09-11,56,可續買但進入賣壓測試區,100.0,confirmed,55.88448473895968,46184.85,-0.016097829400587852,-892.7,-85067.0,5878.7118
2026-09-14,68,續買動能明確,100.0,confirmed,68.01772258223203,45862.52,-0.006979128437139019,-369.64,-82658.0,5838.77609
2026-09-15,55,可續買但進入賣壓測試區,100.0,confirmed,54.74435784332274,45511.49,-0.0076539623204307135,-626.99,-83223.0,5822.40465
2026-09-16,62,可續買但進入賣壓測試區,100.0,confirmed,62.104736017744585,45848.9,0.007413732224543737,-179.8,-76351.0,5861.6666
2026-09-17,69,續買動能明確,100.0,confirmed,68.89464925616986,46288.0,0.009577110901242997,121.85,-78674.0,5893.97267
2026-09-18,61,可續買但進入賣壓測試區,100.0,confirmed,61.34973337432663,47180.75,0.01928685620463187,869.94,-76110.0,5940.3948
2026-09-21,51,可續買但進入賣壓測試區,100.0,confirmed,51.24376048911013,47718.84,0.011404863212221087,204.79,-74081.0,6030.37778
2026-09-22,54,可續買但進入賣壓測試區,100.0,confirmed,54.070982294002334,47800.17,0.0017043582786169993,453.21,-75568.0,6048.61415
2026-09-23,39,賣壓風險升高,100.0,confirmed,39.13385654030377,48157.29,0.0074711031362440766,373.13,-76084.0,6063.67833
2026-09-24,51,可續買但進入賣壓測試區,100.0,confirmed,50.94534271970242,48024.6,-0.0027553460753294047,-329.65,-77031.0,6151.03402
